vo_pair,mean_abs_diff,basic_nfunction_types,lexical_density_tokens,log_ttr_aw,log_ttr_cw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_fw,msttr50_fw,hdd42_fw,mtld_original_fw,mtld_ma_bi_fw,mtld_ma_wrap_cw,mtld_ma_wrap_fw,basic_ntypes,basic_ncontent_types,lexical_density_types,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_fw,mattr50_aw,msttr50_aw,msttr50_cw,hdd42_aw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_wrap_aw,mattr50_cw,mtld_ma_bi_cw,basic_ntokens,basic_ncontent_tokens,basic_nfunction_tokens,hdd42_cw
comprehend information / digest information,0.5416602464764899,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,higher in metaphorical,,,,,,,,higher in metaphorical,higher in literal,,higher in metaphorical,,,higher in metaphorical,,higher in literal,higher in literal,,
comprehend meaning / digest meaning,1.3846060374526938,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,,,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal
comprehend material / digest material,1.2489619222792363,higher in metaphorical,,higher in literal,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical
comprehend fact / digest fact,1.241819422942065,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,
comprehend text / digest text,1.7722897845725551,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
comprehend concept / digest concept,1.7168154452151967,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
comprehend idea / digest idea,1.1991249800991515,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,,,,,,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,,,,,,higher in literal,higher in literal,higher in literal,
comprehend word / digest word,1.4074915844399825,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,
comprehend content / digest content,1.3718625335121502,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,higher in literal,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,
comprehend situation / digest situation,2.1235960710443296,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
comprehend message / digest message,1.4213166498254908,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in literal,,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,
reject past / disown past,0.8749728867377831,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,,,higher in metaphorical,,higher in literal,,,,
reject idea / disown idea,1.2473912121181403,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in literal,,,higher in literal,,,,
reject policy / disown policy,0.978540076708854,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,
reject responsibility / disown responsibility,0.6883221639372291,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,,,higher in literal,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,
reduce price / drop price,1.1335884244487986,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,higher in metaphorical,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical
reduce rate / drop rate,0.6104878567133291,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,higher in metaphorical,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,,
forget trouble / drown trouble,1.1636327933685109,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,,,,,,
forget pain / drown pain,0.675707014262719,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,,higher in literal,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,higher in literal,,,higher in literal,higher in literal,,,,
forget problem / drown problem,0.871471928254695,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,,,,
forget feeling / drown feeling,0.8351255996299989,,higher in literal,higher in metaphorical,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in metaphorical,,higher in literal,,,higher in literal,,,,,
decrease appetite / dull appetite,3.1369164855106795,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,
decrease sense / dull sense,0.5165652544199658,higher in metaphorical,higher in literal,,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,,,
decrease noise / dull noise,2.1570282685917532,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
decrease feeling / dull feeling,1.9517606180768015,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
make excuse / find excuse,1.145632692897779,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
make way / find way,1.146920778280719,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
make connection / find connection,0.9784884038995089,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
suggest idea / float idea,1.1325519086007436,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
suggest theory / float theory,0.97379466064135,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,
suggest concept / float concept,1.3225691722729933,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,higher in metaphorical
saturate market / flood market,1.8010311809382333,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
practice profession / follow profession,1.0565996457495885,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,,,,,,
practice religion / follow religion,1.0671949522790936,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,,,,,,
practice activity / follow activity,0.7766742783135022,higher in literal,,,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,
practise profession / follow profession,1.2523551468226264,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
practise religion / follow religion,0.6640144446913645,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,,higher in literal,,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal
practise activity / follow activity,0.8823936421861829,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
pose question / frame question,0.7648088492146987,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,
pose problem / frame problem,0.5892875160447391,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,,higher in literal,,,,,higher in literal,higher in literal,,higher in literal,,higher in literal,,,,higher in literal,,,higher in literal,,,higher in literal,higher in literal,,,,
pose challenge / frame challenge,0.8888180131002699,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,,,,,,higher in literal,higher in literal,higher in literal,
pose issue / frame issue,0.570181522475488,higher in metaphorical,,,,,,,,,higher in literal,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
pose debate / frame debate,0.6499698137604306,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,,,,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
pose concern / frame concern,0.7925347802835504,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in literal,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,higher in metaphorical
pose argument / frame argument,0.9859686947325549,,,,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical
pose idea / frame idea,0.7002008906123308,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,,,,
pose hypothesis / frame hypothesis,0.7755872376830626,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,,,,higher in literal,,,,,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,,,
stimulate debate / fuel debate,0.9192735670250267,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,
stimulate growth / fuel growth,0.8947779645968864,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,
stimulate economy / fuel economy,0.5478580115125002,,higher in literal,,,higher in metaphorical,,,,,,,,higher in literal,,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,
stimulate interest / fuel interest,0.8336816665245806,higher in literal,higher in metaphorical,,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,,,,,,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,
stimulate discussion / fuel discussion,0.8920920709910112,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,
stimulate demand / fuel demand,0.5700452170925459,,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,,,,,,,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,,,,,,
stimulate activity / fuel activity,0.7134050806503823,,higher in metaphorical,,,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,,higher in literal,,,,,,,,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,
stimulate creativity / fuel creativity,0.759021446884968,,,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,
stimulate conversation / fuel conversation,1.3011093909942366,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,
understand meaning / grasp meaning,1.3133309753094335,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,
understand concept / grasp concept,0.7961390330441906,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,,higher in metaphorical,,,,,higher in literal,higher in literal,higher in literal,
understand issue / grasp issue,1.1538982996390688,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,
understand point / grasp point,0.9019163538829146,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,
