vo_pair,mean_abs_diff,lemma_ttr,lexical_density_tokens,content_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_binary_all_sent,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_binary_noun_sent,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_binary_argument_sent,adjacent_overlap_binary_2_argument_sent,adjacent_overlap_cw_para,adjacent_overlap_cw_para_div_seg,adjacent_overlap_2_cw_para,adjacent_overlap_2_cw_para_div_seg,adjacent_overlap_verb_para_div_seg,adjacent_overlap_binary_verb_para,adjacent_overlap_2_verb_para,adjacent_overlap_2_verb_para_div_seg,adjacent_overlap_binary_2_verb_para,adjacent_overlap_binary_2_adj_para,adjacent_overlap_adv_para,adjacent_overlap_adv_para_div_seg,adjacent_overlap_binary_adv_para,adjacent_overlap_2_adv_para,adjacent_overlap_2_adv_para_div_seg,adjacent_overlap_binary_2_adv_para,adjacent_overlap_pronoun_para,adjacent_overlap_pronoun_para_div_seg,adjacent_overlap_binary_pronoun_para,adjacent_overlap_2_pronoun_para,adjacent_overlap_2_pronoun_para_div_seg,adjacent_overlap_binary_2_pronoun_para,adjacent_overlap_argument_para,adjacent_overlap_argument_para_div_seg,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,disjunctions,lexical_subordinators,reason_and_purpose,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,all_negative,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas,lexical_density_types,function_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_verb_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_all_para,adjacent_overlap_all_para_div_seg,adjacent_overlap_2_all_para,adjacent_overlap_2_all_para_div_seg,adjacent_overlap_fw_para_div_seg,adjacent_overlap_binary_fw_para,adjacent_overlap_2_fw_para_div_seg,adjacent_overlap_2_noun_para,adjacent_overlap_verb_para,adjacent_overlap_2_adj_para,adjacent_overlap_2_adj_para_div_seg,lsa_2_all_para,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,basic_connectives,conjunctions,addition,positive_causal,opposition,negative_logical,all_temporal,positive_intentional,all_positive,all_connective,lemma_mattr,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_fw_sent,adjacent_overlap_fw_para,adjacent_overlap_2_fw_para,adjacent_overlap_noun_para_div_seg,adjacent_overlap_2_noun_para_div_seg,lsa_1_all_sent,lsa_1_all_para,coordinating_conjuncts,all_causal,determiners,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_noun_para,adjacent_overlap_adj_para,adjacent_overlap_adj_para_div_seg,adjacent_overlap_binary_adj_para,adjacent_overlap_2_argument_para_div_seg,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,sentence_linking,order,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_2_noun_sent_div_seg,lsa_2_all_sent,adjacent_overlap_binary_noun_para,adjacent_overlap_binary_argument_para,adjacent_overlap_2_argument_sent,adjacent_overlap_binary_cw_para,adjacent_overlap_2_argument_para,adjacent_overlap_binary_all_para,adjacent_overlap_binary_2_fw_para,adjacent_overlap_binary_2_noun_para,adjacent_overlap_binary_2_argument_para,adjacent_overlap_binary_2_cw_para,adjacent_overlap_binary_2_all_para
recall feeling / recapture feeling,1.0431784246915325,higher in metaphorical,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in literal,,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,,,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,,,,,,
recall memory / recapture memory,1.3765127532855077,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in metaphorical,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,,,,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,
recall moment / recapture moment,0.6016937078947104,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,,higher in literal,,higher in literal,,higher in literal,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,,,,,,,,,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,higher in literal,higher in literal,,,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,,,,,,,,,,,,,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,,,higher in metaphorical,,,higher in metaphorical,,,,,,higher in literal,,,,,higher in literal,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,,,higher in literal,,,,,,
recall experience / recapture experience,1.0012367470765717,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,higher in literal,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in literal,,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,higher in metaphorical,higher in literal,,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,,
damage confidence / shake confidence,0.7277063319582492,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,,,higher in literal,,,,,higher in literal,higher in literal,,,,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,,,,,,higher in literal,higher in literal,,,higher in literal,,,higher in literal,,higher in literal,,,,,,
damage foundation / shake foundation,0.9490913182826406,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,,,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,,,,,higher in literal,,higher in literal,higher in metaphorical,,,,
determine result / shape result,0.8397751010753826,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,,higher in literal,,,,,,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,,higher in literal,,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,,,,,
determine life / shape life,0.9203545766077484,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,,,,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,,,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,,,,,higher in literal,,,,higher in literal,higher in literal,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,higher in literal,,higher in metaphorical,higher in metaphorical,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,,higher in literal,,,,higher in literal,higher in literal,,
determine outcome / shape outcome,0.7091557372120056,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,higher in literal,higher in literal,,,higher in literal,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in literal,,,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in metaphorical,,,higher in literal,,higher in literal,,,,,,
determine success / shape success,1.0194762617809938,,higher in metaphorical,,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,,,,higher in metaphorical,,,higher in literal,,,,higher in literal,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,,,higher in literal,higher in literal,,
determine strategy / shape strategy,0.6210241866202776,,higher in metaphorical,,higher in literal,,,,,,,,higher in literal,,,higher in literal,higher in metaphorical,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,higher in literal,higher in literal,,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,,,,,,higher in metaphorical,higher in literal,,,,,,,,,higher in metaphorical,,higher in literal,higher in literal,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,,,,,higher in literal,,,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in metaphorical,,higher in metaphorical,,,
ruin career / shipwreck career,4.238076079488715,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,higher in literal,,,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
cause doubt / sow doubt,0.797290311201244,,,higher in metaphorical,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in literal,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,higher in literal,higher in literal,,higher in literal,higher in literal,,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,higher in literal,higher in literal,,higher in literal,higher in literal,,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in literal,higher in literal,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,,,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,,,,,,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,,,,,
